,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency,ptype,age,sex,alternatives_id
25,1081452,10814520,26376,26376,social,non_mandatory,11.0,8.0,TNC_SINGLE,,,,117,,0out_1in,4,58,1,27
26,1081453,10814530,26376,26376,social,non_mandatory,7.0,8.0,TNC_SINGLE,,,,172,,0out_0in,4,58,1,27
27,1083163,10831630,26418,26418,other,non_mandatory,16.0,8.0,WALK,,,,170,,0out_0in,3,27,1,9
28,1085593,10855930,26477,26477,social,non_mandatory,19.0,8.0,WALK,,,,168,,0out_0in,3,24,2,13
29,1085626,10856260,26478,26478,medical,non_mandatory,10.0,8.0,BIKE,,,,113,,0out_0in,4,46,1,25
30,1085604,10856040,26478,26478,eatout,non_mandatory,13.0,8.0,WALK,,,,99,,0out_0in,4,46,1,25
31,1087512,10875120,26524,26524,medical,non_mandatory,11.0,8.0,BIKE,,,,115,,0out_0in,4,54,1,1
32,1091986,10919860,26633,26633,shopping,non_mandatory,17.0,8.0,WALK_LRF,,,,95,,1out_0in,4,39,1,7
33,1094154,10941540,26686,26686,medical,non_mandatory,9.0,8.0,BIKE,,,,113,,0out_0in,4,39,1,25
34,1094132,10941320,26686,26686,eatout,non_mandatory,5.0,8.0,WALK,,,,175,,0out_0in,4,39,1,25
35,1094364,10943640,26691,26691,shopping,non_mandatory,16.0,8.0,WALK,,,,137,,0out_0in,4,43,2,7
36,1094643,10946430,26698,26698,other,non_mandatory,20.0,8.0,WALK_LOC,,,,60,,0out_2in,4,55,2,9
37,1098131,10981310,26783,26783,medical,non_mandatory,3.0,8.0,WALK,,,,58,,0out_0in,4,52,1,1
38,1100145,11001450,26832,26832,shopping,non_mandatory,6.0,8.0,WALK,,,,155,,0out_1in,4,51,2,7
39,1100640,11006400,26844,26844,social,non_mandatory,7.0,8.0,WALK,,,,58,,0out_1in,4,51,1,13
40,1101244,11012440,26859,26859,other,non_mandatory,15.0,8.0,WALK,,,,75,,0out_0in,4,48,1,9
41,1102887,11028870,26899,26899,medical,non_mandatory,4.0,8.0,BIKE,,,,102,,0out_0in,4,62,1,14
42,1102888,11028880,26899,26899,medical,non_mandatory,13.0,8.0,WALK_LRF,,,,137,,0out_0in,4,62,1,14
43,1103343,11033430,26910,26910,shopping,non_mandatory,16.0,8.0,WALK,,,,127,,0out_0in,4,41,1,15
44,1103344,11033440,26910,26910,shopping,non_mandatory,9.0,8.0,BIKE,,,,155,,0out_0in,4,41,1,15
45,1103316,11033160,26910,26910,eatout,non_mandatory,12.0,8.0,WALK,,,,72,,0out_0in,4,41,1,15
47,1104286,11042860,26933,26933,shopping,non_mandatory,16.0,8.0,WALK,,,,112,,0out_0in,4,34,1,69
48,1104409,11044090,26936,26936,shopping,non_mandatory,21.0,8.0,WALK,,,,90,,2out_1in,4,57,1,7
49,1110428,11104280,27083,27083,other,non_mandatory,12.0,9.0,WALK_LRF,,,,89,,0out_0in,4,51,2,9
50,1112437,11124370,27132,27132,other,non_mandatory,9.0,9.0,WALK,,,,75,,0out_0in,4,56,1,9
51,1113749,11137490,27164,27164,other,non_mandatory,19.0,9.0,BIKE,,,,69,,0out_0in,4,44,1,9
52,1114457,11144570,27181,27181,social,non_mandatory,16.0,9.0,WALK_LRF,,,,114,,0out_0in,4,61,1,13
53,1115187,11151870,27199,27199,medical,non_mandatory,9.0,9.0,WALK,,,,100,,0out_0in,4,52,2,1
54,1116704,11167040,27236,27236,medical,non_mandatory,15.0,9.0,WALK_LRF,,,,126,,0out_1in,4,64,1,1
55,1118144,11181440,27271,27271,shopping,non_mandatory,5.0,9.0,TNC_SINGLE,,,,90,,0out_0in,4,50,2,7
56,1123302,11233020,27397,27397,other,non_mandatory,17.0,9.0,WALK_LRF,,,,127,,0out_0in,4,29,2,9
57,1124040,11240400,27415,27415,other,non_mandatory,18.0,9.0,WALK,,,,108,,0out_0in,4,35,1,9
58,1124084,11240840,27416,27416,medical,non_mandatory,16.0,9.0,WALK_LRF,,,,135,,0out_0in,4,32,1,1
59,1126768,11267680,27482,27482,eatout,non_mandatory,11.0,10.0,WALK,,,,138,,0out_0in,4,52,1,3
60,1129433,11294330,27547,27547,eatout,non_mandatory,9.0,10.0,WALK,,,,173,,0out_0in,4,47,1,3
61,1129616,11296160,27551,27551,other,non_mandatory,7.0,10.0,WALK,,,,116,,0out_0in,4,40,1,9
62,1130357,11303570,27569,27569,medical,non_mandatory,9.0,10.0,TAXI,,,,57,,0out_0in,4,58,1,1
63,1133656,11336560,27650,27650,eatout,non_mandatory,14.0,10.0,WALK_LRF,,,,146,,0out_0in,4,51,1,3
64,1134424,11344240,27668,27668,social,non_mandatory,9.0,10.0,WALK,,,,62,,0out_0in,4,57,1,13
65,1134498,11344980,27670,27670,medical,non_mandatory,22.0,10.0,TNC_SINGLE,,,,100,,1out_2in,4,49,1,8
66,1134495,11344950,27670,27670,other,non_mandatory,17.0,10.0,WALK_LRF,,,,127,,2out_2in,4,49,1,8
67,1134476,11344760,27670,27670,eatout,non_mandatory,5.0,10.0,WALK,,,,158,,0out_0in,4,49,1,8
68,1135938,11359380,27705,27705,shopping,non_mandatory,12.0,10.0,TAXI,,,,104,,0out_1in,4,30,2,2
69,1135930,11359300,27705,27705,other,non_mandatory,8.0,10.0,WALK,,,,172,,0out_0in,4,30,2,2
70,1136791,11367910,27726,27726,other,non_mandatory,9.0,10.0,WALK,,,,56,,0out_0in,4,52,1,9
71,1137368,11373680,27740,27740,medical,non_mandatory,24.0,10.0,WALK_LRF,,,,128,,0out_0in,4,43,1,1
72,1140481,11404810,27816,27816,other,non_mandatory,17.0,10.0,WALK_LRF,,,,89,,0out_0in,4,52,1,9
73,1140932,11409320,27827,27827,other,non_mandatory,9.0,10.0,WALK,,,,137,,0out_0in,4,55,1,9
74,1141760,11417600,27847,27847,shopping,non_mandatory,16.0,10.0,DRIVEALONEFREE,,,,145,,0out_0in,4,31,1,5
75,1141755,11417550,27847,27847,medical,non_mandatory,4.0,10.0,WALK,,,,43,,0out_0in,4,31,1,5
76,1143026,11430260,27878,27878,medical,non_mandatory,9.0,10.0,BIKE,,,,137,,0out_1in,4,64,1,1
77,1149058,11490580,28025,28025,shopping,non_mandatory,11.0,10.0,SHARED2FREE,,,,125,,0out_1in,4,48,1,2
78,1149050,11490500,28025,28025,other,non_mandatory,3.0,10.0,WALK_LRF,,,,152,,0out_0in,4,48,1,2
79,1149509,11495090,28036,28036,shopping,non_mandatory,16.0,10.0,TNC_SHARED,,,,71,,0out_0in,4,61,2,17
80,1149510,11495100,28036,28036,shopping,non_mandatory,11.0,10.0,WALK,,,,136,,0out_0in,4,61,2,17
81,1149709,11497090,28041,28041,medical,non_mandatory,25.0,10.0,WALK,,,,140,,0out_0in,4,55,1,1
82,1149750,11497500,28042,28042,medical,non_mandatory,15.0,10.0,WALK_LRF,,,,90,,0out_0in,4,54,1,10
83,1149747,11497470,28042,28042,other,non_mandatory,23.0,10.0,WALK_LRF,,,,171,,0out_1in,4,54,1,10
84,1153609,11536090,28136,28136,shopping,non_mandatory,19.0,10.0,WALK,,,,113,,0out_0in,4,60,1,18
85,1153604,11536040,28136,28136,medical,non_mandatory,5.0,10.0,WALK,,,,87,,0out_0in,4,60,1,18
86,1153605,11536050,28136,28136,medical,non_mandatory,4.0,10.0,WALK,,,,139,,0out_0in,4,60,1,18
87,1154976,11549760,28170,28170,eatout,non_mandatory,19.0,10.0,WALK,,,,135,,0out_0in,4,42,1,3
88,1160251,11602510,28298,28298,shopping,non_mandatory,5.0,11.0,WALK,,,,74,,0out_0in,4,40,2,7
89,1162911,11629110,28363,28363,medical,non_mandatory,7.0,11.0,WALK,,,,112,,0out_0in,3,40,1,25
90,1162889,11628890,28363,28363,eatout,non_mandatory,11.0,11.0,WALK,,,,125,,0out_0in,3,40,1,25
91,1163608,11636080,28380,28380,medical,non_mandatory,1.0,11.0,WALK_LRF,,,,103,,0out_0in,4,30,2,1
92,1165245,11652450,28420,28420,other,non_mandatory,11.0,11.0,WALK,,,,63,,0out_0in,4,45,1,9
93,1167508,11675080,28475,28475,shopping,non_mandatory,15.0,11.0,WALK,,,,103,,0out_0in,4,50,1,7
94,1168082,11680820,28489,28489,shopping,non_mandatory,5.0,11.0,WALK,,,,63,,1out_0in,4,53,1,7
95,1168943,11689430,28510,28510,shopping,non_mandatory,16.0,11.0,TNC_SINGLE,,,,107,,1out_1in,4,48,1,17
96,1168944,11689440,28510,28510,shopping,non_mandatory,12.0,11.0,WALK,,,,180,,0out_1in,4,48,1,17
97,1170209,11702090,28541,28541,medical,non_mandatory,21.0,11.0,BIKE,,,,60,,0out_1in,4,34,1,25
98,1170187,11701870,28541,28541,eatout,non_mandatory,12.0,11.0,WALK,,,,155,,0out_0in,4,34,1,25
99,1170788,11707880,28555,28555,shopping,non_mandatory,16.0,11.0,WALK,,,,50,,0out_0in,4,50,1,7
100,1174615,11746150,28649,28649,eatout,non_mandatory,2.0,13.0,WALK,,,,104,,0out_0in,4,57,1,3
101,1174683,11746830,28650,28650,shopping,non_mandatory,24.0,13.0,WALK,,,,73,,0out_0in,4,48,1,2
102,1174675,11746750,28650,28650,other,non_mandatory,9.0,13.0,WALK_LRF,,,,115,,0out_0in,4,48,1,2
103,1176487,11764870,28694,28694,shopping,non_mandatory,2.0,14.0,WALK,,,,87,,1out_1in,4,19,2,7
105,1179065,11790650,28757,28757,medical,non_mandatory,16.0,16.0,WALK,,,,19,,0out_0in,4,51,2,61
106,1179073,11790730,28757,28757,social,non_mandatory,22.0,16.0,WALK,,,,137,,0out_0in,4,51,2,61
107,1179439,11794390,28766,28766,shopping,non_mandatory,5.0,16.0,WALK,,,,72,,0out_0in,4,61,1,5
108,1179434,11794340,28766,28766,medical,non_mandatory,21.0,16.0,DRIVEALONEFREE,,,,136,,0out_0in,4,61,1,5
109,1183121,11831210,28856,28856,other,non_mandatory,12.0,16.0,WALK,,,,113,,0out_0in,4,49,1,9
110,1185439,11854390,28913,28913,eatout,non_mandatory,2.0,16.0,WALK,,,,138,,0out_0in,4,51,1,3
111,1186532,11865320,28939,28939,shopping,non_mandatory,22.0,16.0,TNC_SINGLE,,,,74,,1out_0in,3,25,2,20
112,1186524,11865240,28939,28939,other,non_mandatory,17.0,16.0,WALK,,,,147,,0out_0in,3,25,2,20
113,1186505,11865050,28939,28939,eatout,non_mandatory,22.0,16.0,DRIVEALONEFREE,,,,19,,1out_1in,3,25,2,20
114,1186614,11866140,28941,28941,shopping,non_mandatory,16.0,16.0,WALK,,,,77,,0out_0in,4,42,1,7
115,1186983,11869830,28950,28950,shopping,non_mandatory,3.0,16.0,TAXI,,,,71,,1out_0in,4,56,1,5
116,1186978,11869780,28950,28950,medical,non_mandatory,11.0,16.0,WALK,,,,90,,0out_2in,4,56,1,5
117,1188473,11884730,28987,28987,eatout,non_mandatory,7.0,16.0,WALK_LOC,,,,120,,1out_2in,4,51,2,3
118,1189189,11891890,29004,29004,other,non_mandatory,1.0,16.0,WALK,,,,80,,0out_0in,4,20,2,9
119,1193989,11939890,29121,29121,medical,non_mandatory,7.0,16.0,WALK,,,,117,,0out_2in,4,48,1,1
120,1194232,11942320,29127,29127,other,non_mandatory,21.0,16.0,WALK,,,,78,,0out_0in,4,39,2,9
121,1194560,11945600,29135,29135,other,non_mandatory,24.0,16.0,WALK,,,,75,,0out_0in,4,62,1,9
123,1194888,11948880,29143,29143,other,non_mandatory,4.0,16.0,WALK,,,,135,,0out_0in,4,51,1,64
124,1195503,11955030,29158,29158,other,non_mandatory,11.0,16.0,WALK_LOC,,,,88,,1out_1in,4,30,1,9
125,1195880,11958800,29167,29167,shopping,non_mandatory,22.0,16.0,WALK,,,,77,,0out_0in,4,39,1,7
126,1197720,11977200,29212,29212,medical,non_mandatory,14.0,16.0,WALK_LOC,,,,91,,0out_0in,4,57,2,1
127,1200057,12000570,29269,29269,medical,non_mandatory,16.0,16.0,WALK,,,,126,,0out_0in,4,61,1,1
128,1201008,12010080,29292,29292,social,non_mandatory,15.0,16.0,WALK,,,,78,,0out_0in,4,34,1,13
129,1201046,12010460,29293,29293,shopping,non_mandatory,16.0,16.0,WALK,,,,62,,0out_0in,4,27,1,7
130,1202495,12024950,29329,29329,eatout,non_mandatory,13.0,16.0,WALK,,,,114,,0out_0in,4,23,1,3
131,1202596,12025960,29331,29331,other,non_mandatory,17.0,16.0,WALK,,,,137,,0out_0in,4,19,2,9
132,1203214,12032140,29346,29346,medical,non_mandatory,4.0,16.0,WALK,,,,86,,0out_0in,4,34,1,1
133,1203785,12037850,29360,29360,other,non_mandatory,20.0,16.0,WALK,,,,87,,1out_0in,3,29,1,9
134,1208385,12083850,29472,29472,shopping,non_mandatory,5.0,16.0,WALK,,,,71,,0out_0in,4,61,2,21
135,1208388,12083880,29472,29472,social,non_mandatory,13.0,16.0,WALK,,,,109,,0out_0in,4,61,2,21
136,1208593,12085930,29477,29477,social,non_mandatory,5.0,16.0,WALK,,,,68,,0out_0in,4,60,1,13
137,1210804,12108040,29531,29531,shopping,non_mandatory,20.0,17.0,TNC_SHARED,,,,87,,0out_0in,4,39,1,7
138,1211173,12111730,29540,29540,shopping,non_mandatory,19.0,17.0,DRIVEALONEFREE,,,,135,,0out_1in,4,27,2,7
139,1212193,12121930,29565,29565,medical,non_mandatory,5.0,17.0,WALK_LRF,,,,45,,0out_0in,4,55,1,1
140,1213177,12131770,29589,29589,medical,non_mandatory,4.0,17.0,WALK,,,,155,,0out_0in,4,31,2,1
141,1213715,12137150,29602,29602,shopping,non_mandatory,16.0,17.0,WALK,,,,101,,0out_0in,4,55,1,22
142,1213716,12137160,29602,29602,shopping,non_mandatory,19.0,17.0,SHARED2FREE,,,,162,,2out_0in,4,55,1,22
143,1213707,12137070,29602,29602,other,non_mandatory,16.0,17.0,DRIVEALONEFREE,,,,184,,0out_0in,4,55,1,22
144,1213718,12137180,29602,29602,social,non_mandatory,10.0,17.0,SHARED2FREE,,,,124,,0out_0in,4,55,1,22
145,1213871,12138710,29606,29606,other,non_mandatory,18.0,17.0,WALK,,,,147,,0out_0in,4,51,1,9
147,1214658,12146580,29625,29625,shopping,non_mandatory,17.0,17.0,WALK,,,,145,,0out_0in,4,61,1,7
148,1216011,12160110,29658,29658,shopping,non_mandatory,5.0,17.0,WALK,,,,170,,0out_1in,4,48,1,7
149,1222407,12224070,29814,29814,shopping,non_mandatory,16.0,17.0,WALK_LRF,,,,71,,0out_0in,4,45,1,7
150,1222858,12228580,29825,29825,shopping,non_mandatory,11.0,17.0,WALK,,,,88,,0out_0in,4,61,1,2
151,1222850,12228500,29825,29825,other,non_mandatory,17.0,17.0,WALK,,,,137,,0out_0in,4,61,1,2
153,1226379,12263790,29911,29911,medical,non_mandatory,9.0,17.0,SHARED3FREE,,,,86,,1out_2in,4,58,1,68
154,1226387,12263870,29911,29911,social,non_mandatory,16.0,17.0,WALK,,,,102,,0out_0in,4,58,1,68
155,1226388,12263880,29911,29911,social,non_mandatory,12.0,17.0,DRIVEALONEFREE,,,,175,,1out_2in,4,58,1,68
156,1226753,12267530,29920,29920,shopping,non_mandatory,5.0,17.0,WALK_LRF,,,,85,,0out_0in,4,55,2,7
157,1227330,12273300,29934,29934,social,non_mandatory,15.0,17.0,BIKE,,,,91,,0out_0in,4,48,1,13
158,1227527,12275270,29939,29939,medical,non_mandatory,4.0,18.0,TNC_SINGLE,,,,76,,0out_0in,4,52,2,14
159,1227528,12275280,29939,29939,medical,non_mandatory,13.0,18.0,DRIVEALONEFREE,,,,155,,0out_0in,4,52,2,14
160,1230722,12307220,30017,30017,other,non_mandatory,19.0,21.0,WALK,,,,119,,1out_0in,4,35,1,9
162,1232124,12321240,30051,30051,shopping,non_mandatory,5.0,24.0,WALK,,,,150,,0out_0in,4,40,2,69
163,1232862,12328620,30069,30069,shopping,non_mandatory,8.0,25.0,TNC_SINGLE,,,,158,,1out_0in,3,64,1,20
164,1232854,12328540,30069,30069,other,non_mandatory,11.0,25.0,WALK_LOC,,,,115,,0out_0in,3,64,1,20
165,1232835,12328350,30069,30069,eatout,non_mandatory,14.0,25.0,WALK,,,,85,,0out_0in,3,64,1,20
166,1232985,12329850,30072,30072,shopping,non_mandatory,5.0,25.0,WALK,,,,101,,0out_0in,4,32,1,7
167,4412754,44127540,107628,107628,eatout,non_mandatory,6.0,6.0,WALK,,,,112,,0out_0in,2,42,1,3
168,4414025,44140250,107659,107659,eatout,non_mandatory,5.0,6.0,WALK,,,,169,,0out_0in,1,27,1,26
169,4414055,44140550,107659,107659,social,non_mandatory,12.0,6.0,TNC_SINGLE,,,,176,,0out_0in,1,27,1,26
170,4414517,44145170,107671,107671,eatout,non_mandatory,7.0,6.0,WALK,,,,170,,0out_0in,1,33,2,3
171,4416392,44163920,107716,107716,social,non_mandatory,17.0,6.0,WALK_LRF,,,,135,,0out_0in,2,35,1,13
172,4418166,44181660,107760,107760,eatout,non_mandatory,6.0,7.0,WALK,,,,157,,0out_0in,1,42,1,3
173,4421793,44217930,107848,107848,other,non_mandatory,5.0,7.0,WALK_LOC,,,,180,,0out_0in,1,28,1,9
174,4422165,44221650,107857,107857,medical,non_mandatory,5.0,7.0,SHARED2FREE,,,,145,,0out_0in,2,31,1,1
175,4429709,44297090,108041,108041,medical,non_mandatory,22.0,8.0,WALK_LRF,,,,116,,1out_0in,2,45,2,11
176,4429717,44297170,108041,108041,social,non_mandatory,24.0,8.0,WALK,,,,172,,0out_0in,2,45,2,11
177,4430242,44302420,108054,108054,medical,non_mandatory,5.0,8.0,BIKE,,,,85,,0out_0in,2,30,1,10
178,4430239,44302390,108054,108054,other,non_mandatory,5.0,8.0,WALK,,,,172,,0out_0in,2,30,1,10
179,4434134,44341340,108149,108149,other,non_mandatory,10.0,8.0,WALK,,,,169,,0out_0in,1,37,1,9
180,4436679,44366790,108211,108211,medical,non_mandatory,12.0,9.0,WALK_LRF,,,,28,,0out_0in,2,46,1,10
181,4436676,44366760,108211,108211,other,non_mandatory,24.0,9.0,BIKE,,,,166,,0out_0in,2,46,1,10
182,4445021,44450210,108415,108415,eatout,non_mandatory,7.0,9.0,WALK,,,,75,,1out_0in,2,30,2,3
183,4468418,44684180,108985,108985,shopping,non_mandatory,19.0,10.0,WALK,,,,181,,0out_0in,1,40,1,7
184,4470796,44707960,109043,109043,shopping,non_mandatory,17.0,10.0,WALK_LRF,,,,184,,0out_0in,2,29,2,7
185,4486745,44867450,109432,109432,shopping,non_mandatory,12.0,10.0,WALK_LOC,,,,164,,0out_0in,1,36,1,29
186,4486746,44867460,109432,109432,shopping,non_mandatory,5.0,10.0,TNC_SHARED,,,,184,,0out_0in,1,36,1,29
187,4486737,44867370,109432,109432,other,non_mandatory,9.0,10.0,WALK,,,,184,,0out_0in,1,36,1,29
188,4488093,44880930,109465,109465,medical,non_mandatory,12.0,10.0,TNC_SHARED,,,,62,,0out_0in,2,55,1,14
189,4488094,44880940,109465,109465,medical,non_mandatory,1.0,10.0,WALK,,,,180,,0out_0in,2,55,1,14
190,4489410,44894100,109497,109497,shopping,non_mandatory,5.0,10.0,BIKE,,,,125,,0out_0in,1,50,1,7
191,4490066,44900660,109513,109513,shopping,non_mandatory,5.0,10.0,DRIVEALONEFREE,,,,101,,0out_1in,2,35,1,17
192,4490067,44900670,109513,109513,shopping,non_mandatory,19.0,10.0,TNC_SINGLE,,,,124,,2out_0in,2,35,1,17
194,4490394,44903940,109521,109521,shopping,non_mandatory,12.0,10.0,BIKE,,,,70,,0out_0in,1,19,2,69
195,4490736,44907360,109530,109530,eatout,non_mandatory,19.0,10.0,WALK,,,,90,,0out_0in,1,41,1,3
196,4493502,44935020,109597,109597,other,non_mandatory,20.0,10.0,WALK_LOC,,,,89,,0out_1in,2,55,2,9
197,4493546,44935460,109598,109598,medical,non_mandatory,19.0,10.0,TAXI,,,,145,,1out_1in,2,28,1,10
198,4493543,44935430,109598,109598,other,non_mandatory,22.0,10.0,WALK_HVY,,,,8,,0out_0in,2,28,1,10
199,4497009,44970090,109683,109683,eatout,non_mandatory,19.0,10.0,WALK_LOC,,,,175,,0out_0in,1,26,1,3
201,4521527,45215270,110281,110281,eatout,non_mandatory,5.0,14.0,WALK,,,,146,,0out_0in,2,45,2,3
202,4522407,45224070,110302,110302,other,non_mandatory,11.0,14.0,WALK,,,,172,,0out_0in,1,37,2,9
203,4526510,45265100,110402,110402,medical,non_mandatory,2.0,16.0,WALK_LOC,,,,145,,0out_0in,2,21,2,25
204,4526488,45264880,110402,110402,eatout,non_mandatory,16.0,16.0,SHARED2FREE,,,,112,,0out_0in,2,21,2,25
205,4528811,45288110,110458,110458,shopping,non_mandatory,2.0,16.0,TNC_SHARED,,,,128,,0out_0in,1,50,1,40
206,4528814,45288140,110458,110458,social,non_mandatory,21.0,16.0,WALK,,,,72,,0out_0in,1,50,1,40
207,4528815,45288150,110458,110458,social,non_mandatory,22.0,16.0,WALK,,,,166,,0out_0in,1,50,1,40
208,4543530,45435300,110817,110817,shopping,non_mandatory,16.0,16.0,SHARED3FREE,,,,125,,0out_0in,2,49,1,5
209,4543525,45435250,110817,110817,medical,non_mandatory,5.0,16.0,WALK,,,,138,,0out_0in,2,49,1,5
210,4544755,45447550,110847,110847,medical,non_mandatory,9.0,16.0,WALK_LOC,,,,40,,0out_0in,1,62,1,10
211,4544752,45447520,110847,110847,other,non_mandatory,20.0,16.0,WALK,,,,87,,0out_0in,1,62,1,10
212,4551607,45516070,111014,111014,shopping,non_mandatory,11.0,16.0,WALK_LOC,,,,88,,0out_0in,2,48,2,42
213,4551580,45515800,111014,111014,eatout,non_mandatory,5.0,16.0,WALK,,,,129,,0out_0in,2,48,2,42
214,4562587,45625870,111282,111282,other,non_mandatory,4.0,16.0,WALK_LOC,,,,90,,0out_1in,3,27,1,9
215,4578093,45780930,111660,111660,shopping,non_mandatory,16.0,16.0,BIKE,,,,175,,0out_0in,2,51,1,7
216,4579733,45797330,111700,111700,shopping,non_mandatory,14.0,16.0,WALK_LOC,,,,102,,0out_0in,1,42,1,42
217,4579706,45797060,111700,111700,eatout,non_mandatory,12.0,16.0,WALK_LOC,,,,158,,0out_0in,1,42,1,42
218,4580381,45803810,111716,111716,other,non_mandatory,16.0,16.0,WALK,,,,104,,0out_0in,2,42,1,30
219,4580362,45803620,111716,111716,eatout,non_mandatory,16.0,16.0,WALK,,,,159,,0out_0in,2,42,1,30
220,4585014,45850140,111829,111829,other,non_mandatory,11.0,16.0,DRIVEALONEFREE,,,,162,,0out_0in,3,26,2,9
221,4590229,45902290,111956,111956,shopping,non_mandatory,11.0,16.0,WALK,,,,113,,0out_0in,1,43,1,2
222,4590221,45902210,111956,111956,other,non_mandatory,4.0,16.0,WALK,,,,41,,0out_0in,1,43,1,2
223,4591336,45913360,111983,111983,shopping,non_mandatory,11.0,16.0,WALK,,,,171,,0out_0in,3,35,2,20
224,4591328,45913280,111983,111983,other,non_mandatory,16.0,16.0,WALK,,,,135,,0out_0in,3,35,2,20
225,4591309,45913090,111983,111983,eatout,non_mandatory,2.0,16.0,WALK,,,,137,,0out_0in,3,35,2,20
226,4591705,45917050,111992,111992,shopping,non_mandatory,19.0,16.0,TNC_SHARED,,,,90,,0out_0in,2,27,2,7
227,4593053,45930530,112025,112025,medical,non_mandatory,16.0,16.0,WALK,,,,146,,0out_0in,1,42,1,10
228,4593050,45930500,112025,112025,other,non_mandatory,25.0,16.0,WALK,,,,87,,0out_0in,1,42,1,10
229,4594657,45946570,112064,112064,shopping,non_mandatory,3.0,16.0,WALK,,,,155,,0out_0in,2,48,2,2
230,4594649,45946490,112064,112064,other,non_mandatory,21.0,16.0,DRIVEALONEFREE,,,,114,,0out_0in,2,48,2,2
231,4595313,45953130,112080,112080,shopping,non_mandatory,4.0,16.0,DRIVEALONEFREE,,,,185,,0out_0in,2,51,1,7
233,4600061,46000610,112196,112196,other,non_mandatory,11.0,16.0,SHARED3FREE,,,,180,,0out_2in,1,36,1,9
234,4606170,46061700,112345,112345,other,non_mandatory,22.0,17.0,WALK,,,,105,,0out_0in,1,33,1,9
235,4611590,46115900,112477,112477,shopping,non_mandatory,11.0,17.0,WALK_LRF,,,,115,,1out_2in,2,38,2,31
236,4611585,46115850,112477,112477,medical,non_mandatory,5.0,17.0,WALK_LRF,,,,71,,0out_0in,2,38,2,31
237,4611582,46115820,112477,112477,other,non_mandatory,21.0,17.0,WALK_LOC,,,,174,,0out_0in,2,38,2,31
238,4612118,46121180,112490,112490,medical,non_mandatory,11.0,17.0,TNC_SINGLE,,,,182,,0out_0in,1,55,1,25
239,4612096,46120960,112490,112490,eatout,non_mandatory,16.0,17.0,WALK,,,,162,,0out_0in,1,55,1,25
240,4612615,46126150,112502,112502,shopping,non_mandatory,13.0,17.0,WALK,,,,86,,0out_0in,2,35,1,17
241,4612616,46126160,112502,112502,shopping,non_mandatory,17.0,17.0,WALK,,,,101,,0out_0in,2,35,1,17
242,4614501,46145010,112548,112548,shopping,non_mandatory,16.0,17.0,WALK,,,,102,,0out_0in,1,21,2,7
